Ref,Latitude,Longitude,SVF,EF
CC1,53.48076923,-2.23740312,0.8782,0.2
CC2,53.47772534,-2.24016638,0.3657,0.2
CC3,53.48286672,-2.23273374,0.3283,0.2
CC4,53.48348095,-2.23634475,0.2965,0.2
CC5,53.48688838,-2.24363966,0.01145,0.47
CC6,53.48039735,-2.24541327,0.342,0.2
CC7,53.48039665,-2.24644832,0.4365,0.2
CC8,53.48041243,-2.24126015,0.271,0.2
CC9,53.4723606,-2.2375173,0.4813,0.45
CC10,53.4679121,-2.23161117,0.5065,0.45
CC11,53.47388088,-2.23134847,0.706,0.45
N1,53.49509233,-2.237561,0.911,0.2
N2,53.51078996,-2.24396641,0.90185,0.35
N3,53.52314585,-2.24802286,0.7879,0.5
N4,53.53673402,-2.24065373,0.6988,0.9
N5,53.56555754,-2.22171316,0.6791,0.95
N6,53.58734276,-2.20920779,0.88495,0.5
NE1,53.49024956,-2.21927616,0.82445,0.31
NE2,53.49810836,-2.20173831,0.8549,0.29
NE3,53.50266841,-2.17867585,0.9349,0.29
NE4,NA,NA,0.86275,0.37
NE5,NA,NA,0.9085,0.605
NE6,NA,NA,0.8994,0.2
E1,53.47513617,-2.21328959,0.8796,0.615
E2,53.47360684,-2.18864513,0.8091,0.395
E3,53.47252198,-2.16369969,0.77915,0.2
E4,53.47358552,-2.14181589,0.8341,0.5
E5,53.4848509,-2.09884207,0.9428,0.2
E6,53.48338394,-2.05190839,0.81065,0.29
SE1,53.46765535,-2.21972501,0.90195,0.45
SE2,53.45967345,-2.20271777,0.88565,0.37
SE3,53.44553807,-2.19026557,0.82745,0.31
SE4,53.43011278,-2.17789759,0.8264,0.3
SE5,53.40543171,-2.15727417,0.8302,0.455
SE6,53.38473855,-2.12707764,0.8125,0.5
S1,53.46636713,-2.23223073,0.61445,0.45
S2,53.45208827,-2.22079164,0.8741,0.2
S3,53.43654934,-2.22189966,0.61065,0.2
S4,53.42384025,-2.23613429,0.766133333,0.5
S5,53.38722623,-2.24411238,0.7186,0.5
S6,53.3614163,-2.24250409,0.96815,0.95
SW1,53.47233901,-2.25263238,0.9035,0.2
SW2,53.4625999,-2.27637925,0.9311,0.5
SW3,53.4555054,-2.29594875,0.85805,0.31
SW4,53.44314369,-2.30851208,0.86145,0.35
SW5,53.41737085,-2.33287923,0.6798,0.66
SW6,53.39272262,-2.35109839,0.8833,0.35
W1,53.47565994,-2.25814942,0.9324,0.2
W2,53.47871048,-2.2843391,0.83615,0.31
W3,53.48203385,-2.30938361,0.87915,0.29
W4,53.48561866,-2.33725931,0.83675,0.37
W5,53.47201825,-2.37967438,0.8869,0.5
NW0,53.49331286,-2.24806856,0.69865,0.2
NW1,53.48286501,-2.25794708,0.8738,0.2
NW2,53.48894166,-2.281653,0.85775,0.31
NW3,53.49812663,-2.30270218,0.9461,0.58
NW4,53.50947832,-2.3142907,0.8252,0.5
NW5,53.53006602,-2.34498173,0.91625,0.5
NW6,53.54404663,-2.38830766,0.9318,0.3
